Date,Time,Heart rate (bpm),Tag
Apr-15,11:20 PM,77,
Apr-15,10:51 PM,85,
Apr-15,9:50 PM,72,
Apr-15,8:10 PM,65,
Apr-15,7:50 PM,71,
Apr-15,6:10 PM,72,
Apr-15,5:40 PM,76,
Apr-15,4:10 PM,75,
Apr-15,3:40 PM,85,
Apr-15,3:10 PM - 3:26 PM,127,Exercising
Apr-15,2:34 PM - 2:47 PM,115,Exercising
Apr-15,2:10 PM,77,
Apr-15,1:50 AM,71,
Apr-15,12:50 AM,73,
Apr-14,11:51 PM,73,
Apr-14,10:10 PM,72,
Apr-14,9:50 PM,74,
Apr-14,8:40 PM,72,
Apr-14,7:50 PM,76,
Apr-14,6:30 PM,83,
Apr-14,5:50 PM,85,
Apr-14,4:20 PM,87,
Apr-14,3:31 PM,97,
Apr-14,2:30 PM,95,
Apr-14,1:50 PM,78,
Apr-14,1:41 AM,77,
Apr-14,12:50 AM,79,
Apr-13,11:50 PM,73,
Apr-13,7:40 PM,86,
Apr-13,1:00 AM,92,
Apr-12,11:40 PM,77,
Apr-12,10:50 PM,66,
Apr-12,9:50 PM,72,
Apr-12,8:50 PM,81,
Apr-12,7:50 PM,81,
Apr-12,6:17 PM - 6:46 PM,147,Exercising
Apr-11,7:00 PM,74,
Apr-11,6:50 PM,89,
Apr-11,5:20 PM,73,
Apr-11,4:40 PM,71,
Apr-11,3:40 PM,83,
Apr-11,3:07 PM - 3:19 PM,110,Exercising
Apr-11,2:50 PM,73,
Apr-11,2:06 PM - 2:17 PM,110,Exercising
Apr-11,1:41 PM,79,
Apr-11,12:24 PM - 1:36 PM,151,Exercising
Apr-11,12:50 PM,100,
Apr-11,2:00 AM,72,
Apr-11,1:00 AM,73,
Apr-11,12:50 AM,75,
Apr-10,11:50 PM,83,
Apr-10,10:50 PM,84,
Apr-10,9:30 PM,80,
Apr-10,8:50 PM,79,
Apr-10,7:31 PM - 7:45 PM,144,Exercising
Apr-10,7:20 PM,77,
Apr-10,6:51 PM,78,
Apr-10,6:38 PM - 6:50 PM,101,Exercising
Apr-10,5:30 PM,84,
Apr-10,4:40 PM,75,
Apr-10,3:50 PM,77,
Apr-10,2:53 PM,102,
Apr-10,2:01 PM - 2:26 PM,149,Exercising
Apr-10,1:08 PM - 1:52 PM,138,Exercising
Apr-10,1:50 PM,111,
Apr-10,12:40 PM,71,
Apr-10,11:31 AM,79,
Apr-09,3:20 PM,80,
Apr-09,2:11 PM,85,
Apr-09,1:50 PM,77,
Apr-09,12:30 PM,75,
Apr-09,10:50 AM,83,
Apr-09,12:20 AM,81,
Apr-08,11:40 PM,86,
Apr-08,10:40 PM,80,
Apr-08,9:50 PM,76,
Apr-08,8:50 PM,84,
Apr-08,7:30 PM,68,
Apr-08,6:50 PM,66,
Apr-08,5:30 PM,66,
Apr-08,4:50 PM,79,
Apr-08,3:50 PM,79,
Apr-08,2:50 PM,78,
Apr-08,1:50 PM,76,
Apr-08,12:50 PM,83,
Apr-08,11:43 AM,74,
Apr-08,1:10 AM,77,
Apr-08,12:00 AM,75,
Apr-07,11:32 PM,102,
Apr-07,10:40 PM,63,
Apr-07,9:40 PM,75,
Apr-07,8:40 PM,76,
Apr-07,7:50 PM,74,
Apr-07,6:50 PM,77,
Apr-07,4:10 PM,78,
Apr-07,3:10 PM,81,
Apr-07,2:10 PM,76,
Apr-07,1:50 PM,85,
Apr-06,2:50 PM,82,
Apr-06,12:20 PM,80,
Apr-06,11:20 AM,80,
Apr-06,10:20 AM,69,
Apr-06,9:50 AM,77,
Apr-06,8:50 AM,75,
Apr-05,3:10 PM,89,
Apr-04,2:10 AM,80,
Apr-04,1:50 AM,76,
Apr-04,12:50 AM,76,
Apr-03,11:40 PM,81,
Apr-03,10:50 PM,81,
Apr-03,9:40 PM,83,
Apr-03,8:41 PM,95,
Apr-03,7:41 PM,86,
Apr-03,7:25 PM - 7:39 PM,154,Exercising
Apr-03,6:50 PM,81,
Apr-03,5:44 PM - 5:56 PM,109,Exercising
Apr-03,4:50 PM,76,
Apr-03,3:20 PM,84,
Apr-03,2:50 PM,136,
Apr-02,4:30 PM,85,
Apr-02,3:20 PM,87,
Apr-02,2:30 PM,86,
Apr-02,1:50 PM,93,
Apr-02,12:18 PM - 12:29 PM,101,Exercising
Apr-02,12:10 PM,91,
Apr-02,10:50 AM,107,
Apr-02,9:49 AM - 10:01 AM,131,Exercising
Apr-02,9:30 AM,91,
Apr-02,8:40 AM,91,
Mar-31,11:00 PM,58,
Mar-31,10:50 PM,81,
Mar-31,9:50 PM,73,
Mar-31,8:50 PM,87,
Mar-31,7:50 PM,99,
Mar-31,6:50 PM,94,
Mar-31,5:12 PM - 5:26 PM,141,Exercising
Mar-31,4:50 PM,87,
Mar-31,3:10 AM,84,
Mar-31,2:50 AM,79,
Mar-31,1:50 AM,83,
Mar-31,12:50 AM,83,
Mar-30,11:40 PM,85,
Mar-30,10:50 PM,79,
Mar-30,9:50 PM,80,
Mar-30,8:30 PM,83,
Mar-30,7:40 PM,91,
Mar-30,6:27 PM - 6:46 PM,166,Exercising
Mar-30,6:00 PM,89,
Mar-30,5:41 PM,93,
Mar-30,4:50 PM,91,
Mar-30,3:30 PM,90,
Mar-30,1:40 PM,102,
Mar-30,12:30 PM,94,
Mar-30,2:10 AM,88,
Mar-28,9:10 PM,82,
Mar-28,8:40 PM,81,
Mar-28,7:40 PM,87,
Mar-28,6:50 PM,78,
Mar-28,5:10 PM,73,
Mar-28,4:40 PM,77,
Mar-28,2:20 PM,102,
Mar-28,12:10 AM,79,
Mar-27,11:50 PM,73,
Mar-27,10:50 PM,80,
Mar-27,9:50 PM,72,
Mar-27,8:30 PM,89,
Mar-27,7:10 PM,88,
Mar-27,6:40 PM,94,
Mar-27,5:10 PM,76,
Mar-27,12:20 AM,86,
Mar-26,11:50 PM,88,
Mar-26,10:50 PM,77,
Mar-26,9:10 PM,89,
Mar-26,8:30 PM,75,
Mar-26,6:30 PM,58,
Mar-24,11:30 PM,87,
Mar-24,10:50 PM,79,
Mar-24,9:40 PM,71,
Mar-24,8:50 PM,81,
Mar-24,7:50 PM,86,
Mar-24,6:50 PM,89,
Mar-24,5:38 PM - 5:56 PM,132,Exercising
Mar-24,5:30 PM,96,
Mar-24,2:00 AM,71,
Mar-24,1:51 AM,70,
Mar-24,12:30 AM,73,
Mar-23,11:51 PM,81,
Mar-23,10:50 PM,87,
Mar-23,9:50 PM,84,
Mar-23,8:50 PM,81,
Mar-23,7:31 PM,93,
Mar-23,6:31 PM,77,
Mar-22,11:41 PM,75,
Mar-22,10:40 PM,77,
Mar-22,9:50 PM,80,
Mar-22,8:50 PM,83,
Mar-22,7:50 PM,88,
Mar-22,6:20 PM,78,
Mar-22,5:30 PM,99,
Mar-22,4:50 PM,87,
Mar-22,3:50 PM,93,
Mar-22,2:57 PM - 3:08 PM,111,Exercising
Mar-22,2:10 PM,76,
Mar-19,11:10 PM,78,
Mar-19,10:20 PM,77,
Mar-19,9:20 PM,72,
Mar-19,8:35 PM - 8:45 PM,109,Exercising
Mar-19,7:21 PM,104,
Mar-17,11:20 PM,71,
Mar-17,10:50 PM,82,
Mar-17,9:50 PM,79,
Mar-17,8:20 PM,87,
Mar-17,5:50 PM,92,
Mar-17,4:24 PM - 4:43 PM,112,Exercising
Mar-17,4:00 PM,67,
Mar-17,3:51 PM,87,
Mar-17,1:10 PM,80,
Mar-17,12:20 PM,105,
Mar-16,11:10 PM,87,
Mar-16,10:40 PM,86,
Mar-16,8:40 PM,78,
Mar-16,7:50 PM,94,
Mar-16,6:10 PM,101,
Mar-16,5:45 PM - 5:56 PM,94,Exercising
Mar-16,5:31 PM,99,
Mar-16,2:50 PM,73,
Mar-16,1:41 PM,101,
Mar-16,12:20 PM,94,
Mar-16,11:00 AM,89,
Mar-16,10:50 AM,87,
Mar-15,11:30 PM,82,
Mar-15,10:51 PM,91,
Mar-15,9:20 PM,81,
Mar-15,8:40 PM,77,
Mar-15,7:40 PM,81,
Mar-15,6:50 PM,69,
Mar-15,5:50 PM,71,
Mar-15,4:37 PM - 5:06 PM,107,Exercising
Mar-15,3:40 PM,75,
Mar-15,2:50 PM,67,
Mar-15,1:10 PM,87,
Mar-14,8:40 PM,81,
Mar-14,7:52 PM,77,
Mar-14,6:30 PM - 6:43 PM,104,Exercising
Mar-14,6:10 PM,73,
Mar-14,5:50 PM,75,
Mar-14,4:50 PM,75,
Mar-14,3:50 PM,83,
Mar-14,2:50 PM,88,
Mar-14,1:40 PM,82,
Mar-14,12:52 PM,93,
Mar-13,7:30 PM,77,
Mar-13,6:00 PM,72,
Mar-13,5:30 PM,81,
Mar-13,4:50 PM,83,
Mar-13,3:31 PM,94,
Mar-13,2:50 PM,100,
Mar-13,1:10 AM,90,
Mar-08,10:50 PM,76,
Mar-08,9:50 PM,71,
Mar-08,8:50 PM,73,
Mar-08,7:50 PM,78,
Mar-08,6:50 PM,83,
Mar-08,5:50 PM,83,
Mar-08,3:50 PM,77,
Mar-08,2:20 PM,81,
Mar-08,1:34 PM - 1:57 PM,131,Exercising
Mar-08,1:20 PM,75,
Mar-08,12:28 PM - 12:57 PM,127,Exercising
Mar-08,12:41 PM,81,
Mar-08,12:13 PM - 12:25 PM,129,Exercising
Mar-08,11:40 AM,102,
Mar-07,6:00 PM,80,
Mar-07,5:00 PM,85,
Mar-07,4:00 PM,70,
Mar-07,3:50 PM,71,
Mar-07,2:31 PM,99,
Mar-07,1:50 PM,84,
Mar-07,12:00 PM,83,
Mar-07,12:30 AM,111,
Mar-06,11:00 PM,81,
Mar-06,10:50 PM,82,
Mar-06,9:10 PM,82,
Mar-06,8:50 PM,96,
Mar-06,7:50 PM,78,
Mar-05,10:30 AM,118,
Mar-05,2:40 AM,107,
Mar-05,1:10 AM,107,
Mar-05,12:40 AM,107,
Mar-04,10:41 PM,85,
Mar-04,7:21 PM,75,
Mar-04,6:41 PM,80,
Mar-04,5:50 PM,83,
Mar-04,4:50 PM,68,
Mar-04,3:40 PM,84,
Mar-04,3:11 PM - 3:34 PM,125,Exercising
Mar-04,2:50 PM,68,
Mar-03,10:40 PM,70,
Mar-03,9:40 PM,84,
Mar-03,8:30 PM,60,
Mar-03,7:50 PM,61,
Mar-03,6:50 PM,61,
Mar-03,5:40 PM,59,
Mar-03,4:50 PM,56,
Mar-03,3:50 PM,63,
Mar-03,2:50 PM,71,
Mar-03,1:40 PM,65,
Mar-03,12:50 PM,72,
Mar-03,11:30 AM,75,
Mar-03,10:40 AM,76,
Mar-03,9:30 AM,94,
Mar-03,8:51 AM,87,
Mar-02,10:10 PM,71,
Mar-02,9:40 PM,74,
Mar-02,8:40 PM,71,
Mar-02,7:40 PM,73,
Mar-02,6:50 PM,72,
Mar-02,5:50 PM,61,
Mar-02,4:50 PM,75,
Mar-02,3:41 PM,70,
Mar-02,2:50 PM,78,
Mar-02,1:51 PM,74,
Mar-02,12:20 PM,80,
Mar-02,11:40 AM,80,
Mar-01,9:50 PM,89,
Mar-01,7:49 PM - 8:00 PM,125,Exercising
Mar-01,6:00 PM,82,
Mar-01,5:20 PM,83,
Mar-01,4:40 PM,89,
Mar-01,3:21 PM,75,
Mar-01,2:50 PM,79,
Mar-01,1:50 PM,90,
Feb-24,8:20 AM,83,
Feb-23,11:00 PM,91,
Feb-23,10:50 PM,73,
Feb-23,9:51 PM,74,
Feb-23,8:40 PM,70,
Feb-23,7:50 PM,70,
Feb-23,6:50 PM,63,
Feb-23,5:50 PM,62,
Feb-23,4:40 PM,68,
Feb-23,3:40 PM,76,
Feb-23,2:31 PM,81,
Feb-23,1:50 PM,74,
Feb-23,12:00 PM,87,
Feb-23,11:30 AM,79,
Feb-22,7:10 PM,78,
Feb-22,6:50 PM,75,
Feb-22,5:50 PM,80,
Feb-22,4:50 PM,77,
Feb-22,3:40 PM,77,
Feb-22,2:50 PM,84,
Feb-22,1:50 PM,89,
Feb-22,12:00 PM,117,
Feb-21,9:40 PM,76,
Feb-21,8:50 PM,77,
Feb-21,7:50 PM,77,
Feb-21,6:50 PM,75,
Feb-21,5:20 PM,76,
Feb-21,4:30 PM,77,
Feb-21,3:50 PM,86,
Feb-21,2:50 PM,88,
Feb-21,1:00 AM,70,
Feb-21,12:50 AM,75,
Feb-20,11:31 PM,80,
Feb-20,10:21 PM,87,
Feb-20,9:40 PM,63,
Feb-20,8:30 PM,73,
Feb-20,7:20 PM,69,
Feb-20,6:50 PM,75,
Feb-20,5:30 PM,69,
Feb-20,4:50 PM,75,
Feb-20,3:50 PM,79,
Feb-18,2:30 AM,73,
Feb-18,1:50 AM,69,
Feb-18,12:50 AM,84,
Feb-17,11:30 PM,71,
Feb-17,10:30 PM,84,
Feb-17,9:41 PM,81,
Feb-17,8:50 PM,80,
Feb-17,7:50 PM,71,
Feb-17,12:30 AM,90,
Feb-16,11:20 PM,78,
Feb-16,10:40 PM,80,
Feb-16,9:40 PM,84,
Feb-16,8:15 PM - 8:26 PM,125,Exercising
Feb-16,7:00 PM,110,
Feb-16,6:41 PM,76,
Feb-16,4:50 PM,74,
Feb-15,10:40 PM,85,
Feb-15,7:41 PM,80,
Feb-15,6:50 PM,89,
Feb-15,5:10 PM,84,
Feb-15,4:40 PM,85,
Feb-14,8:40 PM,86,
Feb-14,7:50 PM,74,
Feb-14,6:40 PM,67,
Feb-14,5:40 PM,76,
Feb-14,4:51 PM,86,
Feb-14,3:00 PM,75,
Feb-14,2:30 PM,85,
Feb-13,8:30 PM,66,
Feb-13,7:20 PM,67,
Feb-13,6:20 PM,68,
Feb-13,5:40 PM,86,
Feb-13,4:50 PM,68,
Feb-13,3:50 PM,62,
Feb-13,2:50 PM,62,
Feb-13,1:50 PM,63,
Feb-13,12:50 PM,61,
Feb-13,11:50 AM,63,
Feb-13,10:50 AM,73,
Feb-13,9:37 AM - 9:47 AM,125,Exercising
Feb-13,9:30 AM,85,
Feb-13,8:41 AM,80,
Feb-13,12:50 PM,61,
Feb-13,11:50 AM,63,
Feb-13,10:50 AM,73,
Feb-13,9:37 AM - 9:47 AM,125,Exercising
Feb-13,9:30 AM,85,
Feb-13,8:41 AM,80,
